scene,fov,our,nerf,fovea
0.00,80.00,0.29,0.22,0.34
0.00,85.00,0.28,0.22,0.34
0.00,90.00,0.28,0.22,0.34
0.00,95.00,0.28,0.21,0.34
0.00,100.00,0.28,0.22,0.34
0.00,105.00,0.28,0.22,0.34
1.00,5.00,0.16,0.39,0.01
1.00,10.00,0.21,0.52,0.14
1.00,15.00,0.29,0.49,0.23
1.00,20.00,0.36,0.51,0.33
1.00,25.00,0.42,0.52,0.41
1.00,30.00,0.51,0.54,0.48
1.00,35.00,0.57,0.54,0.53
1.00,40.00,0.59,0.54,0.57
1.00,45.00,0.60,0.53,0.59
1.00,50.00,0.61,0.52,0.62
1.00,55.00,0.61,0.51,0.65
1.00,60.00,0.62,0.51,0.66
1.00,65.00,0.61,0.49,0.67
1.00,70.00,0.60,0.48,0.68
1.00,75.00,0.60,0.47,0.69
1.00,80.00,0.59,0.48,0.70
1.00,85.00,0.59,0.47,0.70
1.00,90.00,0.58,0.47,0.71
1.00,95.00,0.58,0.47,0.71
1.00,100.00,0.57,0.47,0.71
1.00,105.00,0.57,0.47,0.71
1.00,5.00,0.17,0.41,0.01
1.00,10.00,0.21,0.50,0.14
1.00,15.00,0.30,0.47,0.24
1.00,20.00,0.37,0.50,0.34
1.00,25.00,0.42,0.51,0.41
1.00,30.00,0.50,0.52,0.47
1.00,35.00,0.55,0.53,0.53
1.00,40.00,0.58,0.53,0.57
1.00,45.00,0.60,0.53,0.60
1.00,50.00,0.61,0.51,0.63
1.00,55.00,0.61,0.50,0.64
1.00,60.00,0.61,0.49,0.66
1.00,65.00,0.61,0.48,0.68
1.00,70.00,0.60,0.47,0.69
1.00,75.00,0.60,0.46,0.69
1.00,80.00,0.59,0.46,0.70
1.00,85.00,0.59,0.46,0.71
1.00,90.00,0.59,0.46,0.71
1.00,95.00,0.58,0.46,0.71
1.00,100.00,0.57,0.46,0.71
1.00,105.00,0.57,0.46,0.71
1.00,5.00,0.14,0.39,0.00
1.00,10.00,0.22,0.53,0.15
1.00,15.00,0.30,0.53,0.24
1.00,20.00,0.34,0.50,0.32
1.00,25.00,0.40,0.50,0.39
1.00,30.00,0.46,0.47,0.43
1.00,35.00,0.50,0.47,0.48
1.00,40.00,0.52,0.46,0.52
1.00,45.00,0.54,0.45,0.54
1.00,50.00,0.54,0.45,0.58
1.00,55.00,0.54,0.44,0.60
1.00,60.00,0.56,0.45,0.62
1.00,65.00,0.56,0.44,0.63
1.00,70.00,0.56,0.44,0.65
1.00,75.00,0.56,0.45,0.66
1.00,80.00,0.57,0.45,0.67
1.00,85.00,0.57,0.45,0.68
1.00,90.00,0.57,0.45,0.69
1.00,95.00,0.57,0.45,0.69
1.00,100.00,0.57,0.45,0.70
1.00,105.00,0.57,0.46,0.71
1.00,5.00,0.07,0.57,0.00
1.00,10.00,0.12,0.59,0.11
1.00,15.00,0.26,0.55,0.23
1.00,20.00,0.30,0.49,0.32
1.00,25.00,0.35,0.46,0.38
1.00,30.00,0.41,0.44,0.42
1.00,35.00,0.46,0.44,0.47
1.00,40.00,0.50,0.43,0.51
1.00,45.00,0.52,0.44,0.54
1.00,50.00,0.53,0.44,0.57
1.00,55.00,0.54,0.43,0.59
1.00,60.00,0.55,0.44,0.61
1.00,65.00,0.55,0.45,0.63
1.00,70.00,0.56,0.45,0.64
1.00,75.00,0.56,0.45,0.65
1.00,80.00,0.56,0.46,0.66
1.00,85.00,0.56,0.46,0.67
1.00,90.00,0.56,0.46,0.68
1.00,95.00,0.56,0.46,0.68
1.00,100.00,0.56,0.46,0.68
1.00,105.00,0.56,0.47,0.69
1.00,5.00,0.16,0.33,0.01
1.00,10.00,0.26,0.51,0.16
1.00,15.00,0.35,0.54,0.25
1.00,20.00,0.46,0.56,0.36
1.00,25.00,0.52,0.59,0.46
1.00,30.00,0.58,0.59,0.51
1.00,35.00,0.59,0.58,0.54
1.00,40.00,0.61,0.57,0.58
1.00,45.00,0.62,0.56,0.61
1.00,50.00,0.63,0.56,0.62
1.00,55.00,0.64,0.55,0.65
1.00,60.00,0.64,0.56,0.66
1.00,65.00,0.64,0.55,0.68
1.00,70.00,0.64,0.54,0.69
1.00,75.00,0.63,0.54,0.70
1.00,80.00,0.62,0.54,0.71
1.00,85.00,0.62,0.53,0.72
1.00,90.00,0.62,0.53,0.73
1.00,95.00,0.62,0.52,0.73
1.00,100.00,0.61,0.52,0.74
1.00,105.00,0.61,0.51,0.74
1.00,5.00,0.41,0.67,0.01
1.00,10.00,0.38,0.68,0.19
1.00,15.00,0.46,0.68,0.29
1.00,20.00,0.51,0.65,0.41
1.00,25.00,0.54,0.63,0.47
1.00,30.00,0.56,0.60,0.51
1.00,35.00,0.58,0.58,0.54
1.00,40.00,0.61,0.58,0.59
1.00,45.00,0.62,0.58,0.61
1.00,50.00,0.62,0.56,0.63
1.00,55.00,0.62,0.55,0.66
1.00,60.00,0.61,0.54,0.67
1.00,65.00,0.62,0.54,0.68
1.00,70.00,0.61,0.54,0.68
1.00,75.00,0.61,0.53,0.69
1.00,80.00,0.60,0.53,0.70
1.00,85.00,0.60,0.52,0.71
1.00,90.00,0.60,0.52,0.71
1.00,95.00,0.59,0.51,0.71
1.00,100.00,0.59,0.51,0.71
1.00,105.00,0.59,0.51,0.71
1.00,5.00,0.14,0.39,0.01
1.00,10.00,0.22,0.54,0.15
1.00,15.00,0.31,0.56,0.23
1.00,20.00,0.35,0.51,0.31
1.00,25.00,0.41,0.50,0.40
1.00,30.00,0.48,0.48,0.44
1.00,35.00,0.51,0.48,0.48
1.00,40.00,0.53,0.47,0.52
